,Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Item_Outlet_Sales,Outlet_Years,Outlet,Item_Fat_Content_0,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,New_Item_Type_0,New_Item_Type_1,New_Item_Type_2
0,FDA15,9.3,0.016047301,4,249.8092,OUT049,1999,8.225807737,14,9,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1,DRC01,5.92,0.019278216,14,48.2692,OUT018,2009,6.096776362,4,3,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
2,FDN15,17.5,0.016760075,10,141.618,OUT049,1999,7.648868475,14,9,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
3,FDX07,19.2,0.066132029,6,182.095,OUT010,1998,6.597663985,15,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
4,NCD19,8.93,0.066132029,9,53.8614,OUT013,1987,6.90345123,26,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
5,FDP36,10.395,0.066132029,0,51.4008,OUT018,2009,6.323657641,4,3,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
6,FDO10,13.65,0.012741089,13,57.6588,OUT013,1987,5.842247344,26,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
7,FDP10,12.85764518,0.127469857,13,107.7622,OUT027,1985,8.299972963,28,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
8,FDH17,16.2,0.016687114,5,96.9726,OUT045,2002,6.982490326,11,7,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
9,FDU28,19.2,0.09444959,5,187.8214,OUT017,2007,8.457769036,6,2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
10,FDY07,11.8,0.066132029,6,45.5402,OUT049,1999,7.324507514,14,9,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
11,FDA03,18.5,0.045463773,4,144.1102,OUT046,1997,7.690813088,16,8,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
12,FDX32,15.1,0.1000135,6,145.4786,OUT049,1999,7.371655696,14,9,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
13,FDS46,17.6,0.047257328,13,119.6782,OUT046,1997,7.671457657,16,8,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
14,FDF32,16.35,0.0680243,6,196.4426,OUT013,1987,7.590056858,26,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
15,FDP49,9,0.069088961,2,56.3614,OUT046,1997,7.344925234,16,8,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
16,NCB42,11.8,0.008596051,8,115.3492,OUT018,2009,7.39196305,4,3,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
17,FDP49,9,0.069196376,2,54.3614,OUT049,1999,6.578415029,14,9,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
18,DRI11,12.85764518,0.034237682,7,113.2834,OUT027,1985,7.74269191,28,5,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
19,FDU02,13.35,0.10249212,4,230.5352,OUT035,2004,7.919146132,9,6,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
20,FDN22,18.85,0.138190277,13,250.8724,OUT013,1987,8.236443302,26,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
21,FDW12,12.85764518,0.035399923,0,144.5444,OUT027,1985,8.310179649,28,5,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
22,NCB30,14.6,0.025698134,9,196.5084,OUT035,2004,7.37039889,9,6,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
23,FDC37,12.85764518,0.057556998,0,107.6938,OUT019,1985,5.372439196,28,4,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
24,FDR28,13.85,0.025896485,5,165.021,OUT046,1997,8.313613268,16,8,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
25,NCD06,13,0.099887103,9,45.906,OUT017,2007,6.733292362,6,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
26,FDV10,7.645,0.066693437,13,42.3112,OUT035,2004,6.971931234,9,6,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
27,DRJ59,11.65,0.019356132,7,39.1164,OUT013,1987,5.736350337,26,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
28,FDE51,5.925,0.161466534,4,45.5086,OUT010,1998,5.189809682,15,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
29,FDC14,12.85764518,0.072221801,3,43.6454,OUT019,1985,4.84289649,28,4,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
30,FDV38,19.25,0.170348551,4,55.7956,OUT010,1998,5.104652517,15,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
31,NCS17,18.6,0.080829372,8,96.4436,OUT018,2009,7.916721596,4,3,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
32,FDP33,18.7,0.066132029,13,256.6672,OUT018,2009,8.02910914,4,3,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
33,FDO23,17.85,0.066132029,1,93.1436,OUT045,2002,7.685015089,11,7,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
34,DRH01,17.5,0.097904029,14,174.8738,OUT046,1997,7.643140539,16,8,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
35,NCX29,10,0.089291137,8,146.7102,OUT049,1999,8.240666057,14,9,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
36,FDV20,12.85764518,0.059511812,6,128.0678,OUT027,1985,7.936907301,28,5,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
37,DRZ11,8.85,0.113123893,14,122.5388,OUT018,2009,7.384551039,4,3,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
38,FDX10,12.85764518,0.123111453,13,36.9874,OUT027,1985,5.963994168,28,5,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
39,FDB34,12.85764518,0.026480954,13,87.6198,OUT027,1985,7.687765701,28,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
40,FDU02,13.35,0.102511504,4,230.6352,OUT046,1997,8.142216938,16,8,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
41,FDK43,9.8,0.02681843,10,126.002,OUT013,1987,7.673936355,26,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
42,FDA46,13.6,0.117818348,13,192.9136,OUT049,1999,7.835332795,14,9,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
43,FDC02,21.35,0.069102831,3,259.9278,OUT018,2009,8.820185876,4,3,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
44,FDL50,12.15,0.042277867,3,126.5046,OUT013,1987,5.925628651,26,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
45,FDM39,6.42,0.089498926,4,178.1002,OUT010,1998,5.88388045,15,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
46,NCP05,19.6,0.066132029,8,153.3024,OUT045,2002,7.795580032,11,7,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
47,FDV49,10,0.025879577,3,265.2226,OUT045,2002,8.668384732,11,7,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
48,FDL12,15.85,0.121632721,0,60.622,OUT046,1997,7.854631858,16,8,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
49,FDS02,12.85764518,0.255394896,4,196.8794,OUT019,1985,6.660981725,28,4,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
50,NCL17,7.39,0.067779712,8,143.8812,OUT046,1997,8.050571485,16,8,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
51,FDM40,10.195,0.159803853,5,141.5154,OUT013,1987,6.747460228,26,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
52,FDR13,9.895,0.028696932,3,117.0492,OUT013,1987,6.699431865,26,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
53,FDA43,10.895,0.065041581,6,196.3794,OUT017,2007,8.046315708,6,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
54,NCP18,12.15,0.028760013,9,151.4708,OUT017,2007,8.479712608,6,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
55,FDK21,7.905,0.010053105,13,249.0408,OUT018,2009,8.741858784,4,3,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
56,NCX54,9.195,0.048157338,9,106.1622,OUT045,2002,7.658342723,11,7,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
57,DRK35,8.365,0.071958197,7,38.0506,OUT049,1999,6.682061729,14,9,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
58,FDY21,15.1,0.173481304,13,194.511,OUT046,1997,8.499288861,16,8,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
